,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.6981935,stay,0.5645919,99,99,99
1,1,9.5230127,stay,1.2895337,83,182,182
2,1,13.2032586,leave,0.7697642,0,182,182
3,2,26.7007178,stay,0.5843199,94,94,276
4,2,30.1812701,stay,0.6813123,77,171,353
5,2,34.0774924,stay,0.9611713,72,243,425
6,2,38.1578133,stay,0.7415768,59,302,484
7,2,42.2304644,leave,1.2142423,0,302,484
8,3,54.6879434,stay,0.6217139,97,97,581
9,3,58.2000766,stay,0.6841251,75,172,656
10,3,61.9764123,stay,0.5606599,66,238,722
11,3,66.8008546,stay,1.1851793,55,293,777
12,3,70.953637,stay,0.8711355,52,345,829
13,3,74.4019632,leave,1.1030134,0,345,829
14,4,87.5392409,stay,1.0241589,99,99,928
15,4,90.9474816,stay,0.7489966,83,182,1011
16,4,94.8760427,stay,0.8942336,67,249,1078
17,4,98.4044308,stay,0.6895465,63,312,1141
18,4,101.7567581,stay,0.7751673,48,360,1189
19,4,105.4693815,stay,1.1709332,42,402,1231
20,4,108.6054795,leave,0.5072513,0,402,1231
21,5,120.8629361,stay,0.6982643,96,96,1327
22,5,124.1430575,stay,0.7786443,83,179,1410
23,5,127.5275995,stay,0.9466717,68,247,1478
24,5,131.1119287,stay,0.9809453,65,312,1543
25,5,134.3842888,stay,0.886903,53,365,1596
26,5,137.6327356,leave,0.685269,0,365,1596
27,6,150.1936802,stay,0.6298958,98,98,1694
28,6,153.4182042,stay,0.77094,76,174,1770
29,6,157.4586689,stay,0.8448776,68,242,1838
30,6,161.3312053,stay,0.7843882,60,302,1898
31,6,165.1795259,stay,1.1494346,52,354,1950
32,6,169.619909,leave,1.039753,0,354,1950
33,7,185.1016858,stay,0.6386803,87,87,2037
34,7,189.0300639,stay,1.2335858,84,171,2121
35,7,192.6627335,stay,0.8662731,70,241,2191
36,7,197.4630594,stay,1.0000652,56,297,2247
37,7,201.9673523,stay,1.3046252,51,348,2298
38,7,206.1281523,leave,0.6986295,0,348,2298
39,8,221.9217975,stay,0.5759791,89,89,2387
40,8,227.4820157,stay,0.7198649,83,172,2470
41,8,231.186496,stay,0.8077534,66,238,2536
42,8,235.9389424,stay,0.6269838,65,303,2601
43,8,240.1155311,stay,0.8867662,52,355,2653
44,8,244.0600083,stay,0.931397,39,394,2692
45,8,247.4442995,leave,0.615808,0,394,2692
46,9,260.1976522,stay,0.8527043,100,100,2792
47,9,263.4702898,stay,0.6921095,83,183,2875
48,9,267.0624957,stay,1.1844026,66,249,2941
49,9,270.1187858,stay,0.757567,58,307,2999
50,9,274.2550918,leave,0.4938624,0,307,2999
51,10,286.912556,stay,0.8014509,88,88,3087
52,10,289.6567563,stay,0.6460403,80,168,3167
53,10,293.2015156,leave,0.7406216,0,168,3167
