,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,6.065671899996232,stay,1.9713714999961667,85,85,85
1,1,12.477720800001407,stay,2.5835836999758612,80,165,165
2,1,16.03925839997828,stay,0.8454731999954674,67,232,232
3,1,19.249202899984084,stay,0.7554143999877851,64,296,296
4,1,23.363301099976525,leave,1.4024522999825422,0,296,296
5,2,30.09553039999446,stay,0.918880299985176,87,87,383
6,2,33.51721679998445,stay,0.8906310999882407,81,168,464
7,2,36.48527149998699,stay,0.8583321000041906,65,233,529
8,2,41.857145799993305,stay,0.5636676000140142,56,289,585
9,2,45.731168199999956,stay,1.5877723000012338,46,335,631
10,2,52.01310169999488,leave,0.6533356000145432,0,335,631
11,3,60.64718790000188,stay,0.5870655000035185,89,89,720
12,3,65.59514109999873,stay,0.8848735000065062,84,173,804
13,3,69.15091209998354,stay,1.0911026999820024,70,243,874
14,3,73.57101149999653,stay,1.4951596000173595,58,301,932
15,3,76.8891618999769,stay,1.3162361000140663,55,356,987
16,3,79.9651761999994,stay,0.906139600003371,42,398,1029
17,3,86.01114149999921,leave,1.8189220999774989,0,398,1029
18,4,91.87121260000276,stay,0.7624370999983512,95,95,1124
19,4,95.3129793999833,stay,1.0369173000217415,78,173,1202
20,4,98.57301899997401,stay,0.9812196000129916,68,241,1270
21,4,103.05889689998003,stay,0.5515831999946386,60,301,1330
22,4,107.25743289999082,stay,0.9989156000083312,47,348,1377
23,4,111.3176809999859,leave,1.1090447999886237,0,348,1377
24,5,117.31291639999836,stay,0.9049425999983214,93,93,1470
25,5,120.15116719997604,stay,0.8095670999900904,77,170,1547
26,5,124.55904559997725,stay,0.8508163000224158,74,244,1621
27,5,128.02178339997772,stay,0.9638066999905277,62,306,1683
28,5,133.74914649999118,stay,0.7080100000021048,49,355,1732
29,5,137.57332669998868,stay,0.8489876000094227,41,396,1773
30,5,140.64696759998333,stay,1.1063213000015821,26,422,1799
31,5,144.64500769998995,leave,1.3369049000029918,0,422,1799
32,6,152.5553329999966,stay,0.5810596999945119,91,91,1890
33,6,155.85695169999963,stay,1.1164894999819808,84,175,1974
34,6,159.35113080000156,stay,1.0771753000153694,67,242,2041
35,6,164.80906209998648,stay,0.6530382000200916,58,300,2099
36,6,168.90711909998208,stay,1.4667028000112623,55,355,2154
37,6,172.68953759997385,stay,1.5990493999852333,39,394,2193
38,6,179.28490199998487,stay,0.5947636000055354,30,424,2223
39,6,184.30130189997726,leave,2.227805900009116,0,424,2223
40,7,190.56922549998853,stay,1.0298096000042278,85,85,2308
41,7,195.7155012000003,stay,0.8595285999763291,84,169,2392
42,7,199.03474039997673,stay,0.8456732999766245,66,235,2458
43,7,202.38286299997708,stay,0.8435759000130929,60,295,2518
44,7,205.88091339997482,stay,1.2080263000098057,47,342,2565
45,7,210.79103110000142,stay,1.034118799987482,41,383,2606
46,7,216.31078969998634,stay,0.771516500011785,30,413,2636
47,7,219.94316470000194,leave,1.0705042999761645,0,413,2636
48,8,226.09294889998273,stay,0.6382546999957412,93,93,2729
49,8,229.3710613999865,stay,0.8820352000184357,83,176,2812
50,8,232.3291681999981,stay,0.8226286999997683,72,248,2884
51,8,236.47764879997703,stay,2.055068299989216,62,310,2946
52,8,241.78284079997684,stay,1.0268390999990515,54,364,3000
53,8,249.14492049999535,stay,0.7897661000024527,40,404,3040
54,8,253.6908825999999,stay,1.8025067999842577,27,431,3067
55,8,260.058987299999,stay,0.6372281000076327,17,448,3084
56,8,264.43909289999283,leave,0.7516373999824282,0,448,3084
57,9,270.2008144999854,stay,1.0189797999919392,98,98,3182
58,9,273.50273149998975,stay,0.714770699996734,85,183,3267
59,9,276.5369341999758,stay,0.7989662999752909,72,255,3339
60,9,281.25543049999396,stay,0.6645320999959949,59,314,3398
61,9,284.601070899982,stay,1.0465718999912497,48,362,3446
62,9,289.59070049997536,stay,0.6531156999990344,45,407,3491
63,9,292.8107631999883,stay,0.8074198999966029,30,437,3521
64,9,296.1270247999928,stay,0.9227819999796338,23,460,3544
65,9,299.87501019999036,leave,0.8718262999900617,0,460,3544
