,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,2.7040368000016315,stay,0.3586670999939088,96,96,96
1,1,5.079896800001734,stay,0.2860048,82,178,178
2,1,7.520594600006007,stay,0.3090102999994997,70,248,248
3,1,9.854771099999198,stay,0.25971209999988787,64,312,312
4,1,12.333373400004348,leave,0.6048958000028506,0,312,312
5,2,17.633792900000117,stay,0.2554958000109764,91,91,403
6,2,19.757867599997553,stay,0.22974039999826346,82,173,485
7,2,22.038161000004038,stay,0.1929911000042921,72,245,557
8,2,24.538160199997947,stay,0.5435211000003619,63,308,620
9,2,26.84901059999538,leave,0.22056530001282226,0,308,620
10,3,31.64966719999211,stay,0.19112479999603238,91,91,711
11,3,33.903550100003486,stay,0.19240960000024643,76,167,787
12,3,36.21173999999883,stay,0.23416720000386704,72,239,859
13,3,38.49780529999407,stay,0.2535311000101501,63,302,922
14,3,40.943966899998486,stay,0.24962470000900794,45,347,967
15,3,43.40993979999621,leave,0.2547255999961635,0,347,967
16,4,48.33897529999376,stay,0.2313404000014998,95,95,1062
17,4,50.730644700000994,stay,0.23754890001146123,78,173,1140
18,4,52.80555930000264,stay,0.22824559999571647,73,246,1213
19,4,54.93747720000101,stay,0.17683579999720678,61,307,1274
20,4,57.01995509999688,stay,0.17611260000558104,48,355,1322
21,4,59.114084300003015,leave,0.1533973000041442,0,355,1322
22,5,64.69901569999638,stay,0.5050755999982357,87,87,1409
23,5,66.76871140000003,stay,0.1914120000001276,75,162,1484
24,5,68.91909060000035,stay,0.17543149999983143,66,228,1550
25,5,71.33785809999972,leave,0.46034739998867735,0,228,1550
26,6,76.15996439999435,stay,0.18309839999710675,88,88,1638
27,6,78.25405249999312,stay,0.1773481999989599,77,165,1715
28,6,80.82442109999829,stay,0.1806839999917429,67,232,1782
29,6,83.13682469999185,leave,0.4933094000007259,0,232,1782
30,7,87.90667630000098,stay,0.14314830000512302,96,96,1878
31,7,89.86983039999905,stay,0.16019820001383778,78,174,1956
32,7,91.94182389999332,stay,0.1319422999949893,67,241,2023
33,7,94.09799080000084,leave,0.25508410000475124,0,241,2023
34,8,98.96631570000318,stay,0.2594550999929197,88,88,2111
35,8,101.16844340000534,stay,0.19253670000762213,79,167,2190
36,8,103.46679730000324,stay,0.15720210000290535,70,237,2260
37,8,105.77104350000445,leave,0.16119509999407455,0,237,2260
38,9,110.48753670000588,stay,0.21447659999830648,87,87,2347
39,9,112.69353229999251,stay,0.1504897999984678,80,167,2427
40,9,114.9221022999991,stay,0.42944700000225566,75,242,2502
41,9,117.4102489999932,stay,0.5177792000031332,58,300,2560
42,9,119.54269600000407,leave,0.16681799999787472,0,300,2560
43,10,124.30500290000055,stay,0.24627479999617208,89,89,2649
44,10,126.51915379999264,stay,0.24380270000256132,75,164,2724
45,10,128.65207300000475,stay,0.17620259999239352,66,230,2790
46,10,130.93772539999918,leave,0.5118674,0,230,2790
47,11,135.75018040000577,stay,0.14111640000191983,89,89,2879
48,11,138.29434449999826,stay,0.4522703999973601,76,165,2955
49,11,140.41730810000445,stay,0.14139869999780785,74,239,3029
50,11,143.1489436999982,stay,0.45704910000495147,58,297,3087
51,11,145.14328000000387,leave,0.1683069999999134,0,297,3087
52,12,149.9760677000013,stay,0.2370126000023447,95,95,3182
53,12,152.17419540000265,stay,0.18217069999082014,78,173,3260
54,12,154.2715759999992,leave,0.16214090000721626,0,173,3260
55,13,159.3230171000032,stay,0.4510026000061771,98,98,3358
56,13,161.33909340000537,stay,0.147571,78,176,3436
