,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,6.986223800005973,stay,0.4063869999954477,87,87,87
1,1,9.236618100003398,stay,0.3736653000014485,82,169,169
2,1,12.212846800000989,stay,0.8996603000050527,70,239,239
3,1,14.789352800005872,stay,0.4932727999985218,61,300,300
4,1,17.40322030000243,stay,0.4230392000026768,55,355,355
5,1,20.02761680000549,stay,0.5145702000008896,44,399,399
6,1,22.8079113000058,leave,0.494945699996606,0,399,399
7,2,35.25510840000061,stay,0.5759694000007585,100,100,499
8,2,37.729609300004086,stay,0.5340596000023652,85,185,584
9,2,40.02784120000433,stay,0.5316843999971752,72,257,656
10,2,42.9118740000049,stay,0.48305290000280365,60,317,716
11,2,45.43639570000232,stay,0.4405012999995961,45,362,761
12,2,48.11463129999902,stay,0.5189936999959173,36,398,797
13,2,50.78495380000095,leave,0.45558010000240756,0,398,797
14,3,63.13805350000621,stay,0.5930509999961942,86,86,883
15,3,65.51082999999926,stay,0.4158328999983496,85,171,968
16,3,68.02651160000096,stay,0.4978190999972867,72,243,1040
17,3,70.61491150000074,stay,0.4865388000034727,60,303,1100
18,3,73.29321360000176,stay,0.48165540000627516,51,354,1151
19,3,75.7595633000019,stay,0.46424190000107046,39,393,1190
20,3,80.07833790000586,leave,2.249934800005576,0,393,1190
21,4,92.18515930000285,stay,0.44027210000058403,90,90,1280
22,4,95.13591409999935,stay,0.941162200004328,83,173,1363
23,4,97.69373470000573,stay,0.499460300001374,71,244,1434
24,4,100.15606780000235,stay,0.4616141000005882,55,299,1489
25,4,102.63282070000423,stay,0.4713174999997136,46,345,1535
26,4,105.04663350000192,stay,0.4353750000009313,43,388,1578
27,4,107.58722610000405,leave,0.5595661999977892,0,388,1578
28,5,120.18819369999983,stay,0.5605256999988342,92,92,1670
29,5,122.5845804000055,stay,0.457582300005015,83,175,1753
30,5,124.98683370000072,stay,0.4427974999998696,74,249,1827
31,5,127.35682720000477,stay,0.4300437999991118,64,313,1891
32,5,129.72122030000173,stay,0.4270708000040031,49,362,1940
33,5,132.33156950000557,leave,0.6710498000029474,0,362,1940
34,6,144.95058370000334,stay,0.9569601000039256,94,94,2034
35,6,147.26698800000304,stay,0.45681920000060927,81,175,2115
36,6,149.53165690000606,stay,0.40499239999917336,74,249,2189
37,6,151.72373209999932,stay,0.36378059999697143,62,311,2251
38,6,154.10761400000047,stay,0.48124889999598963,53,364,2304
39,6,156.48021890000382,leave,0.4701149000029545,0,364,2304
40,7,169.18735240000387,stay,0.7109219000049052,87,87,2391
41,7,171.48372020000534,stay,0.40778319999662926,78,165,2469
42,7,173.69797200000176,stay,0.37181609999970533,66,231,2535
43,7,176.07042799999908,stay,0.444408299998031,55,286,2590
44,7,178.4005940000061,stay,0.4582233000037377,47,333,2637
45,7,180.79869510000572,stay,0.42237159999785945,40,373,2677
46,7,183.40705159999925,leave,0.6641411000018707,0,373,2677
47,8,195.53800450000563,stay,0.4456463000024087,97,97,2774
48,8,197.8204657000024,stay,0.427884400000039,79,176,2853
49,8,200.370817300005,stay,0.4287473000003956,67,243,2920
50,8,202.70107090000238,stay,0.4584296000030008,64,307,2984
51,8,205.04310310000437,stay,0.46750780000002123,54,361,3038
52,8,207.3995219999997,stay,0.4240557000011904,42,403,3080
53,8,209.75183760000073,stay,0.4429422999965027,31,434,3111
54,8,212.31012000000192,leave,0.6178261000022758,0,434,3111
55,9,224.4692772000053,stay,0.47765939999953844,99,99,3210
56,9,226.73758640000597,stay,0.44572859999607317,83,182,3293
57,9,228.96194280000054,stay,0.4371522000001278,69,251,3362
58,9,231.67430280000553,stay,0.43235570000251755,56,307,3418
59,9,234.03038510000624,stay,0.455633300000045,50,357,3468
60,9,236.81863610000437,stay,0.47709300000133226,41,398,3509
61,9,239.34496200000285,leave,0.6197268000032636,0,398,3509
62,10,251.66005840000435,stay,0.4522737999941455,91,91,3600
63,10,253.95045380000374,stay,0.4427018000060343,80,171,3680
64,10,256.17865690000326,stay,0.42115670000202954,67,238,3747
65,10,258.5272088000056,stay,0.46967009999934817,61,299,3808
66,10,260.8510587000055,stay,0.5101279000009526,48,347,3856
67,10,263.12725520000095,stay,0.4196924999996554,38,385,3894
68,10,265.61573070000304,stay,0.37502349999704165,35,420,3929
69,10,268.02405260000523,leave,0.4998952999958419,0,420,3929
70,11,280.20320530000026,stay,0.4794172999972943,97,97,4026
71,11,282.567375300001,stay,0.5104567000016687,80,177,4106
72,11,286.48799690000305,stay,0.9480047999968519,67,244,4173
73,11,289.05051800000365,stay,0.5270263999991585,61,305,4234
74,11,291.4664364000055,stay,0.4594982999988133,48,353,4282
75,11,293.8304554999995,stay,0.42404269999678945,39,392,4321
76,11,296.22699800000555,stay,0.4701234000021941,31,423,4352
77,11,298.6874491000053,leave,0.5308095000000321,0,423,4352
