,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.188802499993471,stay,1.0623729999933857,90,90,90
1,1,8.112649100017734,stay,1.0205325999995694,77,167,167
2,1,11.998465899989242,stay,0.7564553999982309,67,234,234
3,1,16.309158499992918,leave,0.7504838000168093,0,234,234
4,2,21.952624099998502,stay,0.5944690000033006,97,97,331
5,2,25.348718599998392,stay,0.8237762999779079,77,174,408
6,2,28.598846800014144,stay,0.7574106999963988,73,247,481
7,2,31.682987600011984,stay,0.6918830999929924,64,311,545
8,2,34.786824200011324,leave,0.811739700002363,0,311,545
9,3,40.26281250000466,stay,0.7051336000149604,87,87,632
10,3,43.136733299994376,stay,0.6283780000230763,78,165,710
11,3,45.94073100000969,stay,0.6835706999991089,67,232,777
12,3,48.77474779999466,stay,0.5839454999950249,59,291,836
13,3,52.85658330001752,leave,0.7658918999950401,0,291,836
14,4,58.10662609999417,stay,0.5329044999962207,87,87,923
15,4,61.17487240000628,stay,0.7170689000049606,85,172,1008
16,4,63.906957400002284,stay,0.4988172000157647,70,242,1078
17,4,66.65883090000716,stay,0.4847913999983575,62,304,1140
18,4,69.54692270001397,leave,0.689562699990347,0,304,1140
19,5,75.32862420001766,stay,0.7883290000027046,96,96,1236
20,5,78.22681789999478,stay,0.5697960999968927,79,175,1315
21,5,81.10639999998966,stay,0.7673765000072308,74,249,1389
22,5,83.87458110001171,stay,0.5508869000186678,60,309,1449
23,5,86.6130228000111,leave,0.6897337000118569,0,309,1449
24,6,92.25449359999038,stay,0.6644925999862608,91,91,1540
25,6,94.89038379999693,stay,0.5009278000216,80,171,1620
26,6,97.48640829999931,stay,0.5134596000134479,72,243,1692
27,6,99.97837019999861,leave,0.5043732000049204,0,243,1692
28,7,105.15060320001794,stay,0.4779989999951795,85,85,1777
29,7,107.88471410001512,stay,0.6114194000256248,77,162,1854
30,7,110.57515980000608,stay,0.6348527000227477,69,231,1923
31,7,113.21462509999401,leave,0.5586427000234835,0,231,1923
32,8,118.39644229999976,stay,0.49045710000791587,93,93,2016
33,8,120.79666540000471,stay,0.45721189997857437,81,174,2097
34,8,123.3705186000152,stay,0.48133450001478195,72,246,2169
35,8,125.8127608000068,stay,0.43939149999641813,64,310,2233
36,8,128.43473040001118,leave,0.6117328999971505,0,310,2233
37,9,133.71467859999393,stay,0.5759280999773182,91,91,2324
38,9,136.77881479999633,stay,0.7232356000167783,76,167,2400
39,9,139.70048759999918,stay,0.6110649000038393,75,242,2475
40,9,142.23116120000486,stay,0.5422968000057153,57,299,2532
41,9,144.78286619999562,leave,0.5937442000140436,0,299,2532
42,10,150.094499800005,stay,0.6390369999862742,86,86,2618
43,10,152.71871750001446,stay,0.5467771999828983,79,165,2697
44,10,155.45046779999393,stay,0.49500530000659637,66,231,2763
45,10,157.9605431999953,leave,0.5219738000014331,0,231,2763
46,11,163.1942742000101,stay,0.5227827999915462,91,91,2854
47,11,165.6168200999964,stay,0.4951135999872349,78,169,2932
48,11,168.06874240000616,leave,0.48073480001767166,0,169,2932
49,12,173.36436470001354,stay,0.6441827999951784,86,86,3018
50,12,176.0565762000042,stay,0.5348749000113457,85,171,3103
51,12,178.67251880001277,stay,0.6018424000067171,75,246,3178
52,12,181.24865789999603,leave,0.5443806999828666,0,246,3178
53,13,186.6284234999912,stay,0.7406609000172466,99,99,3277
54,13,189.1905420999974,stay,0.5693642999976873,80,179,3357
55,13,191.61046210001223,stay,0.5060102000134066,72,251,3429
56,13,194.594631999993,leave,0.5901857000135351,0,251,3429
57,14,199.65677510001115,stay,0.584883000003174,100,100,3529
58,14,202.10284639999736,stay,0.49851490001310594,83,183,3612
59,14,204.6969145000039,stay,0.5426492000115104,69,252,3681
60,14,207.32861739999498,leave,0.6747351000085473,0,252,3681
61,15,212.62641920000897,stay,0.5890399999916553,89,89,3770
62,15,215.46432470000582,stay,0.5436990000016522,78,167,3848
63,15,218.28853009999148,stay,0.6685327999875881,65,232,3913
64,15,220.88243480000529,leave,0.5284943000006024,0,232,3913
65,16,226.19486280001001,stay,0.5575950000202283,88,88,4001
66,16,228.75829960001283,stay,0.5210141999996267,77,165,4078
67,16,232.14644030001364,leave,1.2263471000187565,0,165,4078
68,17,237.39670640000259,stay,0.5136839000042528,99,99,4177
69,17,239.96614090001094,stay,0.5305663000035565,80,179,4257
70,17,242.64024919999065,stay,0.5035752000112552,66,245,4323
71,17,245.24104709998937,leave,0.5216414000024088,0,245,4323
72,18,250.6468453000125,stay,0.7101133000105619,87,87,4410
73,18,253.34024540000246,stay,0.5538269999960903,83,170,4493
74,18,256.34031739999773,stay,0.4541886000079103,71,241,4564
75,18,259.2806114999985,leave,0.9278229000046849,0,241,4564
76,19,264.54680499999085,stay,0.5604160999937449,90,90,4654
77,19,267.2564480000001,stay,0.5374007000064012,77,167,4731
78,19,269.97251409999444,stay,0.5198312000138685,75,242,4806
79,19,272.6221222000022,leave,0.5203911999997217,0,242,4806
80,20,277.86871020001126,stay,0.5003802000137512,87,87,4893
81,20,280.3444299999974,stay,0.44218300000648014,81,168,4974
82,20,282.86494240001775,stay,0.478770900022937,71,239,5045
83,20,285.4381960000028,leave,0.6524142999842297,0,239,5045
84,21,290.72032779999427,stay,0.6180676000076346,85,85,5130
85,21,293.47604860001593,stay,0.5904535000154283,84,169,5214
86,21,296.1043078000075,stay,0.6691024999890942,68,237,5282
87,21,298.6005198000057,stay,0.48127660001046024,63,300,5345
